#,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,AVG,TTL,GP
125,Denver Broncos,DST,DEN,10,0,15,11,0,3,20,7,0,5,13,0,20,BYE,20,0,8,15,8.6,147,18
126,DeAndre Hopkins,WR,BAL,1.8,1.9,19.3,5.1,-,9.4,0.8,4.9,28.6,9.6,5.9,14.5,13,13.2,8.6,7.7,2.7,-,9.2,147,16
127,Tyler Bass,K,BUF,10,8,12,6,8,5,10,7,14,13,6,BYE,5,6,15,8,8,5,8.6,146,18
128,Hunter Henry,TE,NE,3.8,18.9,2.9,3.2,5.2,13.1,17.2,9.5,12.6,2.4,12.3,9.4,14.5,BYE,6.5,13.9,0,-,9.1,145.4,17
129,Daniel Carlson,K,LV,4,18,2,10,5,1,16,10,7,BYE,7,15,5,7,5,8,15,10,8.5,145,18
130,Rome Odunze,WR,CHI,2.1,5.3,23.4,2,9,6,BYE,8.4,15.4,5.3,12.5,8.9,4.5,20.2,5.9,9.7,2.5,3.8,8.5,144.9,18
131,Jameis Winston,QB,NYG,-,0.4,0.1,-,0.3,0,8.7,23.6,13.1,-,26.6,14.5,36,17.3,2.6,-,-,-,11.9,143.1,12
132,Justin Tucker,K,FA,8,13,4,5,13,13,13,7,11,3,6,7,9,-,5,12,9,5,8.4,143,17
133,Daniel Jones,QB,IND,6.9,18.3,19.4,10.5,22.1,12.8,6,7.7,24.4,14.2,-,-,-,BYE,-,-,-,-,14.2,142.3,11
134,Mike Gesicki,TE,CIN,4.8,16.1,8.7,0.1,5.1,0,1.2,12.3,27,7,0,BYE,10.3,5.4,6.7,3.4,18.6,14.8,8.3,141.5,18
135,Jake Elliott,K,PHI,10,7,1,2,BYE,10,4,15,5,10,8,13,6,2,10,19,11,8,8.3,141,18
136,Cade Otton,TE,TB,1.5,-0.4,9.7,11.2,7.4,9.5,18,29.1,21.7,8.5,BYE,4,6,10,4.4,-,-,-,10,140.6,15
137,Ray-Ray McCloud III,WR,ATL,9.2,7.5,5.7,11.2,12.6,4.3,2.9,5.6,12.5,6.6,10.6,BYE,13.3,16.1,2.4,5.7,3.7,10.6,8.3,140.5,18
138,Tank Dell,WR,HOU,8.9,2.3,11.2,-,7.3,18.7,0,13.5,18.6,8.3,9.8,10.2,3.3,BYE,6.1,21.8,-,-,10,140,15
